Solidity;Eccentricity;EquivDiameter;Extrema;FilledArea;Extent;Orientation;EulerNumber;microorganism
0,486485343;0,352808026;0,209923376;0,154471545;0,04956691;0,427419505;0,397008867;0,968445787;One
0,526240726;0,617741343;0,226263974;0,163227017;0,046719563;0,527130132;0,092359448;0,96878147;One
0,275985393;0,749712468;0,16207859;0,267667292;0,021195442;0,225697583;0,80897674;0,977173548;One
0,410623014;0,828165912;0,18642243;0,289555972;0,024251241;0,377932599;0,913243006;0,975159449;One
0,496481374;0,728569681;0,318669159;0,481550969;0,088409699;0,407450313;0,431428005;0,952668681;One
0,308855637;0,850006118;0,954171311;0,467166979;0,889946912;0,255696483;0,111073107;0,515609265;One
0,467591242;0,757849015;0,168505467;0,636022514;0,023333171;0,471808854;0,874706563;0,978180598;One
0,668701328;0,830441698;0,180190989;0,752970607;0,029027866;0,626946019;0,111073107;0,965088956;One
0,771509481;0,819013826;0,162886375;0,851782364;0,020414861;0,788248371;0,025865882;0,971131252;One
0,441388831;0,841612627;0,38298854;0,142589118;0,091132863;0,355437184;0,394123244;0,918764686;One
0,550647512;0,704392512;0,132010041;0,188242652;0,019239554;0,542152138;0,640758262;0,98489426;One
0,582408357;0,888694482;0,151994593;0,221388368;0,02054348;0,440787436;0,660586617;0,978851964;One
0,311543357;0,932228068;0,562166654;0,267667292;0,183520865;0,281048936;0,95280223;0,83081571;One
0,278878981;0,959965741;0,175923569;0,323327079;0,021434939;0,21102143;0,435658953;0,975495133;One
0,276820301;0,812357763;0,867747419;0,502814259;0,515853339;0,265590857;0,089325087;0,587445451;One
0,388743828;0,796990089;0,32046934;0,360225141;0,064712848;0,275455156;0,12177331;0,93856999;One
0,526652462;0,838382479;0,250043739;0,709193246;0,051842127;0,461312998;0,159373875;0,952668681;One
0,761444827;0,636204576;0,113007937;0,871794872;0,011438177;0,6895753;0,135852145;0,988251091;One
0,548337216;0,820127248;0,089748361;0,060662914;0,008018698;0,409029203;0,725532643;0,981873112;One
0,164462164;0,752967087;1;0,390243902;0,56577506;0,149971039;0,903016869;0,313192346;One
0,526355097;0,614670256;0,122743484;0,116322702;0,012657835;0,51367198;0,655204762;0,984558577;One
0,66217074;0,697381622;0,103294626;0,155722326;0,00953551;0,585985116;0,515330571;0,986572675;One
